Character,Series,Release Date,Released?
Cocoa Hoto,Is the Order a Rabbit?,"3/20/2022, 12:00 AM UTC",Y
Glycine Bleumer,Sakura Wars: Ecole de Paris,"3/20/2022, 12:10 AM UTC",Y
Genya Tachibana,Millennium Actress,"3/20/2022, 12:20 AM UTC",Y
Ras Elclare,Epic Seven,"3/20/2022, 12:30 AM UTC",
Hatsune,Princess Connect! Re: Dive,"3/20/2022, 12:40 AM UTC",
Nahoya Kawata,Tokyo Revengers,"3/20/2022, 12:50 AM UTC",
Kon,Bleach,"3/20/2022, 1:00 AM UTC",
James Moriarty,Fate/Grand Order,"3/20/2022, 1:10 AM UTC",
Mahiru Tsuyuzaki,Shoujo Kageki Revue Starlight,"3/20/2022, 1:20 AM UTC",
Snow,Combatants Will Be Dispatched!,"3/20/2022, 1:30 AM UTC",
Juri Kurebayashi,Aikatsu! 4,"3/20/2022, 1:40 AM UTC",
Puppeteer,Fire Force Season 2,"3/20/2022, 1:50 AM UTC",
Floyd Leech,Twisted Wonderland,"3/20/2022, 2:00 AM UTC",
Arden,Fire Emblem: Genealogy of the Holy War,"3/20/2022, 2:30 AM UTC",
Frill,Wonder Egg Priority,"3/20/2022, 2:40 AM UTC",
Ayato Kirishima,Tokyo Ghoul,"3/20/2022, 2:50 AM UTC",
Louise de la Vallière,The Familiar of Zero,"3/20/2022, 3:00 AM UTC",
Spider,Edens Zero,"3/20/2022, 3:10 AM UTC",
Dr. Matsumoto,Vivy: Fluorite Eye's Song,"3/20/2022, 3:20 AM UTC",
Rito Yuuki,To Love Ru,"3/20/2022, 3:40 AM UTC",
Yuki Sohma,Fruits Basket,"3/20/2022, 3:50 AM UTC",
Agumon,Digimon Adventure,"3/20/2022, 4:00 AM UTC",
Kimi Toudou,Fruits Basket 2nd Season,"3/20/2022, 4:10 AM UTC",
Jumin Han,Mystic Messenger,"3/20/2022, 4:20 AM UTC",
Alma Karma,D.Gray-man Hallow,"3/20/2022, 4:40 AM UTC",
Sayuri Kurata,Kanon (2006),"3/20/2022, 4:50 AM UTC",
Kumada,Famicom Detective Club: The Missing Heir,"3/20/2022, 5:00 AM UTC",
Stahn Aileron,Tales of Destiny,"3/20/2022, 5:10 AM UTC",
Anastasia Palma,Shin Sakura Wars,"3/20/2022, 5:20 AM UTC",
Yume Nijino,Aikatsu Stars!,"3/20/2022, 5:30 AM UTC",
Camus,Fire Emblem: Shadow Dragon and the Blade of Light,"3/20/2022, 5:40 AM UTC",
Yukina Minato,BanG Dream!,"3/20/2022, 5:50 AM UTC",
Linde,Fire Emblem: Shadow Dragon and the Blade of Light,"3/20/2022, 6:00 AM UTC",
Miyano,Tanaka-kun is Always Listless,"3/20/2022, 6:10 AM UTC",
Kasumi Miwa,Jujutsu Kaisen,"3/20/2022, 6:20 AM UTC",
Yelena,Attack on Titan: The Final Season,"3/20/2022, 6:30 AM UTC",
Kimichika Haijima,2.43: Seiin Koukou Danshi Volley-bu,"3/20/2022, 6:50 AM UTC",
Mineru Wachi,Mother of the Goddess' Dormitory,"3/20/2022, 7:00 AM UTC",
Reborn,REBORN!,"3/20/2022, 7:10 AM UTC",
Taketora Yamamoto,Haikyuu!!,"3/20/2022, 7:30 AM UTC",
Saki Nikaidou,Zombieland Saga,"3/20/2022, 7:40 AM UTC",
Ryuuko Matoi,Kill La Kill,"3/20/2022, 7:50 AM UTC",
Doppo Kunikida,Bungou Stray Dogs,"3/20/2022, 8:00 AM UTC",
Kyle Marcus,Vampire Hunter D: Bloodlust,"3/20/2022, 8:10 AM UTC",
Snow White,Magical Girl Raising Project,"3/20/2022, 8:20 AM UTC",
Da Vinci-chan,Fate/Grand Order,"3/20/2022, 8:30 AM UTC",
Ging Freecss,Hunter x Hunter,"3/20/2022, 8:40 AM UTC",
Aoshi Shinomori,Rurouni Kenshin,"3/20/2022, 8:50 AM UTC",
Miyoko Mangetsu,Doraemon: Nobita's Great Adventure into the Underworld,"3/20/2022, 9:20 AM UTC",
K',The King of Fighters '99: Millennium Battle,"3/20/2022, 9:30 AM UTC",
Akira Kunimi,Haikyuu!!,"3/20/2022, 10:00 AM UTC",
Cinder Fall,RWBY,"3/20/2022, 10:10 AM UTC",
Kanonno Pasca,Tales of the World: Radiant Mythology,"3/20/2022, 10:20 AM UTC",
Amber,Genshin Impact,"3/20/2022, 10:30 AM UTC",
Voyager,Fate/Requiem,"3/20/2022, 10:40 AM UTC",
Rei Hino,Sailor Moon,"3/20/2022, 10:50 AM UTC",
Michiru Fukuroi,Pretty Boy Detective Club,"3/20/2022, 11:00 AM UTC",
Sei Shounagon,Fate/Grand Order,"3/20/2022, 11:20 AM UTC",
Mayano Top Gun,Uma Musume: Pretty Derby - BNW no Chikai,"3/20/2022, 11:30 AM UTC",
Kasumi Iwato,Saki: The Nationals,"3/20/2022, 11:40 AM UTC",
Kanonno Earheart,Tales of the World: Radiant Mythology,"3/20/2022, 12:00 PM UTC",
Obito Uchiha,Naruto Shippuden,"3/20/2022, 12:10 PM UTC",
Mimori Kishida,AKB0048,"3/20/2022, 12:20 PM UTC",
Ino Sakura,Dropout Idol Fruit Tart,"3/20/2022, 12:30 PM UTC",
Meroko Yui,Full Moon wo Sagashite,"3/20/2022, 12:40 PM UTC",
Juri Arisugawa,Revolutionary Girl Utena,"3/20/2022, 12:50 PM UTC",
Lee Yut Lung,Banana Fish,"3/20/2022, 1:00 PM UTC",
Toko Inui,Nijisanji,"3/20/2022, 1:10 PM UTC",
Camieux,Granblue Fantasy,"3/20/2022, 1:20 PM UTC",
Naofumi Iwatani,The Rising of the Shield Hero,"3/20/2022, 1:40 PM UTC",
Chrom,Fire Emblem Awakening,"3/20/2022, 2:00 PM UTC",
Misaka Mikoto,A Certain Scientific Railgun,"3/20/2022, 2:10 PM UTC",
Jean Pierre Polnareff,JoJo's Bizarre Adventure: Stardust Crusaders,"3/20/2022, 2:20 PM UTC",
Dieck,Fire Emblem: The Binding Blade,"3/20/2022, 2:30 PM UTC",
Souma Yukihira,Food Wars! Shokugeki no Souma,"3/20/2022, 2:40 PM UTC",
Jin Mori,The God of High School,"3/20/2022, 2:50 PM UTC",
Ayunda Risu,Hololive ID,"3/20/2022, 3:00 PM UTC",
Souma,Tsubasa Reservoir Chronicle,"3/20/2022, 3:10 PM UTC",
Sara Grace,Eden,"3/20/2022, 3:20 PM UTC",
Ayumi Tachibana,Famicom Detective Club: The Missing Heir,"3/20/2022, 3:30 PM UTC",
Gintoki Sakata,Gintama,"3/20/2022, 3:50 PM UTC",
Tomihime,Ayakashi: Japanese Classic Horror,"3/20/2022, 4:00 PM UTC",
Non Toyoguchi,Keijo!!!!!!!!,"3/20/2022, 4:10 PM UTC",
Canas,Fire Emblem: The Blazing Blade,"3/20/2022, 4:20 PM UTC",
Ruby Rose,RWBY,"3/20/2022, 4:30 PM UTC",
Croissant,Food Fantasy,"3/20/2022, 4:40 PM UTC",
Pancake,Food Fantasy,"3/20/2022, 4:50 PM UTC",
Kokoa Shuzen,Rosario + Vampire Capu2,"3/20/2022, 5:00 PM UTC",
Kaede Kayano,Assassination Classroom,"3/20/2022, 5:10 PM UTC",
Chihiro Fujisaki,Danganronpa: The Animation,"3/20/2022, 5:20 PM UTC",
Hibiya Amamiya,Mekakucity Actors,"3/20/2022, 5:30 PM UTC",
Sora,Air,"3/20/2022, 5:40 PM UTC",
Shirogane Noel,Hololive: Holo no Graffiti,"3/20/2022, 6:10 PM UTC",
Nicolas Brown,Gangsta.,"3/20/2022, 6:20 PM UTC",
Sota Honjo,The World Ends with You,"3/20/2022, 6:30 PM UTC",
Akagawa's Father,"The Night Is Short, Walk on Girl","3/20/2022, 6:40 PM UTC",
Coconut,NEKOPARA,"3/20/2022, 6:50 PM UTC",
Kanata Konoe,Love Live! Nijigasaki High School Idol Club,"3/20/2022, 7:00 PM UTC",
Naruto Uzumaki,Naruto,"3/20/2022, 7:10 PM UTC",
Tsubomi Okuwaka,Strawberry Panic,"3/20/2022, 7:20 PM UTC",
Kurenai Dragoon,Edens Zero,"3/20/2022, 7:30 PM UTC",
Lu Bu Fengxian,Fate/EXTRA,"3/20/2022, 7:40 PM UTC",
Agnès Chevalier de Milan,The Familiar of Zero: Knight of the Twin Moons,"3/20/2022, 7:50 PM UTC",
Ryoma,Fire Emblem Fates,"3/20/2022, 8:00 PM UTC",
Georgios,Fate/Grand Order,"3/20/2022, 8:10 PM UTC",
Waka Kurihara,Given,"3/20/2022, 8:30 PM UTC",
Reika Mutou,Night Head 2041,"3/20/2022, 8:40 PM UTC",
Jade Curtis,Tales of the Abyss,"3/20/2022, 8:50 PM UTC",
Shiki Ryougi,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"3/20/2022, 9:00 PM UTC",
Deishuu Kaiki,Nisemonogatari,"3/20/2022, 9:10 PM UTC",
Bruno Bucciarati,JoJo's Bizarre Adventure: Golden Wind,"3/20/2022, 9:20 PM UTC",
Youhei Mito,Slam Dunk,"3/20/2022, 9:30 PM UTC",
Akito Hyuga,Code Geass Gaiden: Boukoku no Akito,"3/20/2022, 9:50 PM UTC",
Kazuya Hasukawa,Here Is Greenwood,"3/20/2022, 10:00 PM UTC",
Kyouichi Saionji,Revolutionary Girl Utena,"3/20/2022, 10:20 PM UTC",
Hibiki Hibino,Carnival Phantasm: HibiChika Special,"3/20/2022, 10:40 PM UTC",
Shimamura Hougetsu,Adachi to Shimamura,"3/20/2022, 10:50 PM UTC",
Undertaker,Black Butler,"3/20/2022, 11:00 PM UTC",
Rikka Takarada,SSSS.Gridman,"3/20/2022, 11:20 PM UTC",
Suika,Dr. Stone,"3/20/2022, 11:30 PM UTC",
Tsubasa Hanekawa,Bakemonogatari,"3/20/2022, 11:40 PM UTC",
Goshenite,Land of the Lustrous,"3/20/2022, 11:50 PM UTC",
Zero Two,DARLING in the FRANXX,"3/21/2022, 12:00 AM UTC",
Shuuhei Hisagi,Bleach,"3/21/2022, 12:10 AM UTC",
Haruto Bouida,Amazing Stranger,"3/21/2022, 12:20 AM UTC",
Japan,Hetalia: Axis Powers,"3/21/2022, 12:30 AM UTC",
Arcueid Brunestud,Tsukihime,"3/21/2022, 12:40 AM UTC",
Garnet,Jewelpet Sunshine,"3/21/2022, 1:00 AM UTC",
Xander,Fire Emblem Fates,"3/21/2022, 1:10 AM UTC",
Jun Sazanami,Ensemble Stars!,"3/21/2022, 1:20 AM UTC",
Aoba Kuronuma,Durarara!! X2,"3/21/2022, 1:30 AM UTC",
Angra Mainyu,Fate/hollow ataraxia,"3/21/2022, 1:40 AM UTC",
Toge Inumaki,Jujutsu Kaisen,"3/21/2022, 1:50 AM UTC",
Mito,Nausicaa of the Valley of the Wind,"3/21/2022, 2:00 AM UTC",
Flame Swordsman,Yu-Gi-Oh! Duel Monsters,"3/21/2022, 2:10 AM UTC",
Tokiya Ichinose,Uta no Prince-sama: Maji Love 1000%,"3/21/2022, 2:20 AM UTC",
Chihiro Chimatsuri,Vlad Love,"3/21/2022, 2:30 AM UTC",
Amadeus,Steins;Gate 0,"3/21/2022, 2:40 AM UTC",
Sora Takenouchi,Digimon Adventure,"3/21/2022, 2:50 AM UTC",
Luciano,#Compass,"3/21/2022, 3:10 AM UTC",
Feitan,Hunter x Hunter,"3/21/2022, 3:20 AM UTC",
White,Blood Blockade Battlefront,"3/21/2022, 3:30 AM UTC",
Riruka Dokugamine,Bleach,"3/21/2022, 3:40 AM UTC",
Rebecca Bluegarden,Edens Zero,"3/21/2022, 3:50 AM UTC",
Shizuku Tsukishima,Whisper of the Heart,"3/21/2022, 4:00 AM UTC",
Giyuu Tomioka,Demon Slayer: Kimetsu no Yaiba,"3/21/2022, 4:10 AM UTC",
Eris,Tsukimichi: Moonlit Fantasy,"3/21/2022, 4:20 AM UTC",
Afro Samurai,Afro Samurai,"3/21/2022, 4:30 AM UTC",
Susanoo,Akame ga Kill!,"3/21/2022, 4:40 AM UTC",
Shigeru Miura,Death Parade,"3/21/2022, 4:50 AM UTC",
Jay,Tales of Legendia,"3/21/2022, 5:00 AM UTC",
Hiroshi Mizuno,Tsuki ga Kirei,"3/21/2022, 5:10 AM UTC",
Sandora Dortlake,"Problem Children Are Coming from Another World, Aren't They?","3/21/2022, 5:40 AM UTC",
Mirei Gundo,Nijisanji,"3/21/2022, 5:50 AM UTC",
Shalsha,I've Been Killing Slimes for 300 Years and Maxed Out My Level,"3/21/2022, 6:00 AM UTC",
Kousuke Kiyotaki,The Ryuo's Work Is Never Done!,"3/21/2022, 6:10 AM UTC",
Beniyuri,Psychedelica of the Black Butterfly,"3/21/2022, 6:20 AM UTC",
Yin,Darker than Black,"3/21/2022, 6:30 AM UTC",
Chiriko Tsurumi,Anohana: The Flower We Saw That Day,"3/21/2022, 6:40 AM UTC",
Kaname Arisugawa,Tonikaku Kawaii,"3/21/2022, 6:50 AM UTC",
Chiyo Nomoto,Mononoke,"3/21/2022, 7:00 AM UTC",
Theoto Rikka,86 EIGHTY-SIX,"3/21/2022, 7:10 AM UTC",
Ivar,Tales of Xillia,"3/21/2022, 7:20 AM UTC",
Ren Amamiya,Persona 5 the Animation,"3/21/2022, 7:40 AM UTC",
Kosuke Kanzaki,Black Cat,"3/21/2022, 7:50 AM UTC",
Koshi Sugawara,Haikyuu!!,"3/21/2022, 8:00 AM UTC",
Nonnoria Foly,Hortensia Saga,"3/21/2022, 8:10 AM UTC",
A2,NieR: Automata,"3/21/2022, 8:20 AM UTC",
Guren Ichinose,Seraph of the End: Battle in Nagoya,"3/21/2022, 8:30 AM UTC",
Tadashi Yamaguchi,Haikyuu!!,"3/21/2022, 8:40 AM UTC",
Tsukushi Futaba,BanG Dream!,"3/21/2022, 8:50 AM UTC",
Atsumu Matsuyuki,Anohana: The Flower We Saw That Day,"3/21/2022, 9:00 AM UTC",
Kenpachi Zaraki,Bleach,"3/21/2022, 9:10 AM UTC",
Dobu,ODDTAXI,"3/21/2022, 9:20 AM UTC",
Darkness,KonoSuba: God's blessing on this wonderful world!,"3/21/2022, 9:30 AM UTC",
Naoise,Granblue Fantasy,"3/21/2022, 9:40 AM UTC",
Mito Tsukino,Nijisanji,"3/21/2022, 10:00 AM UTC",
Mary Hunt,My Next Life as a Villainess: All Routes Lead to Doom!,"3/21/2022, 10:10 AM UTC",
Shiroyasha,"Problem Children Are Coming from Another World, Aren't They?","3/21/2022, 10:20 AM UTC",
Koyomi Araragi,Bakemonogatari,"3/21/2022, 10:30 AM UTC",
Yoosung Kim,Mystic Messenger,"3/21/2022, 10:40 AM UTC",
You Kasukabe,"Problem Children Are Coming from Another World, Aren't They?","3/21/2022, 10:50 AM UTC",
Youko Inokuma,Kiniro Mosaic,"3/21/2022, 11:00 AM UTC",
Sport Store Owner,Slam Dunk,"3/21/2022, 11:10 AM UTC",
Miyabi,Senran Kagura: Shinovi Versus,"3/21/2022, 11:20 AM UTC",
Leon Elliott,Black Cat,"3/21/2022, 11:30 AM UTC",
Denmark,Hetalia: World Series,"3/21/2022, 11:40 AM UTC",
Mephistopheles,Fate/Grand Order,"3/21/2022, 12:10 PM UTC",
Misaki Yata,K-Project,"3/21/2022, 12:20 PM UTC",
Mashed Potatoes,Food Fantasy,"3/21/2022, 12:30 PM UTC",
Sung Jin-Ah,Solo Leveling,"3/21/2022, 12:40 PM UTC",
Fubuki,One-Punch Man,"3/21/2022, 12:50 PM UTC",
Siesta,The Familiar of Zero,"3/21/2022, 1:00 PM UTC",
Jack Howl,Twisted Wonderland,"3/21/2022, 1:10 PM UTC",
Hana Macchia,Nijisanji ID,"3/21/2022, 1:20 PM UTC",
Shotaro Terauchi,Skate-Leading Stars,"3/21/2022, 1:30 PM UTC",
Yun Ijima,New Game!,"3/21/2022, 1:50 PM UTC",
Honjou Kamatari,Rurouni Kenshin,"3/21/2022, 2:00 PM UTC",
Mithos,Tales of Symphonia,"3/21/2022, 2:10 PM UTC",
Yuna D. Kaito,Cardcaptor Sakura: Clear Card-hen,"3/21/2022, 2:30 PM UTC",
Sylvia Lyyneheym,The Asterisk War,"3/21/2022, 2:40 PM UTC",
Takenori Akagi,Slam Dunk,"3/21/2022, 2:50 PM UTC",
Takeshi Motoba,Himouto! Umaru-chan,"3/21/2022, 3:00 PM UTC",
Aurora Suya Rhys Kaymin,Sleepy Princess in the Demon Castle,"3/21/2022, 3:10 PM UTC",
Karasuba,Psychedelica of the Black Butterfly,"3/21/2022, 3:20 PM UTC",
Suicune,Pokémon,"3/21/2022, 3:30 PM UTC",
Netherlands,Hetalia: World Series,"3/21/2022, 3:40 PM UTC",
Manjiro Sano,Tokyo Revengers,"3/21/2022, 3:50 PM UTC",
Tohka Yatogami,Date a Live,"3/21/2022, 4:00 PM UTC",
Captain Marvel,Marvel Future Avengers,"3/21/2022, 4:10 PM UTC",
Mikleo,Tales of Zestiria: The X,"3/21/2022, 4:20 PM UTC",
Salunga,Godzilla Singular Point,"3/21/2022, 4:30 PM UTC",
Suna,Okashi na Sabaku no Suna to Manu,"3/21/2022, 4:50 PM UTC",
Mayu Arita,Death Parade,"3/21/2022, 5:00 PM UTC",
Tsunan Tsukioka,Rurouni Kenshin,"3/21/2022, 5:10 PM UTC",
Ruby Hoshino,Oshi no Ko,"3/21/2022, 5:20 PM UTC",
Arceus,Pokémon: Arceus and the Jewel of Life,"3/21/2022, 5:30 PM UTC",
Maria Naruse,The Testament of Sister New Devil,"3/21/2022, 5:40 PM UTC",
Iggy,JoJo's Bizarre Adventure: Stardust Crusaders,"3/21/2022, 5:50 PM UTC",
Judas,Tales of Destiny 2,"3/21/2022, 6:00 PM UTC",
Amon,Magi: The Kingdom of Magic,"3/21/2022, 6:10 PM UTC",
Tsurara Shirayuki,Rosario + Vampire Capu2,"3/21/2022, 6:20 PM UTC",
Grell Sutcliff,Black Butler,"3/21/2022, 6:30 PM UTC",
Takashi Mitsuya,Tokyo Revengers,"3/21/2022, 6:40 PM UTC",
Nicholas D. Wolfwood,Trigun,"3/21/2022, 7:00 PM UTC",
Shoutmon,Digimon Xros Wars,"3/21/2022, 7:10 PM UTC",
Conrad,Fire Emblem Echoes: Shadows of Valentia,"3/21/2022, 7:20 PM UTC",
Osamu Dazai,Bungou Stray Dogs,"3/21/2022, 7:30 PM UTC",
Rindou Kobayashi,Food Wars! Toutsuki Juukketsu,"3/21/2022, 7:40 PM UTC",
Carren,Granblue Fantasy,"3/21/2022, 7:50 PM UTC",
Rinku Aimoto,D4DJ First Mix,"3/21/2022, 8:00 PM UTC",
Ushio,Clannad After Story,"3/21/2022, 8:20 PM UTC",
Yui Michimiya,Haikyuu!!,"3/21/2022, 8:30 PM UTC",
Ferry,Granblue Fantasy the Animation Season 2,"3/21/2022, 8:40 PM UTC",
Vlad III,Fate/Apocrypha,"3/21/2022, 8:50 PM UTC",
Norma Beatty,Tales of Legendia,"3/21/2022, 9:00 PM UTC",
Mikoto Urabe,Mysterious Girlfriend X OVA,"3/21/2022, 9:20 PM UTC",
Kid Buu,Dragon Ball Z,"3/21/2022, 9:40 PM UTC",
Orochimaru,Naruto,"3/21/2022, 9:50 PM UTC",
Flynn Scifo,Tales of Vesperia,"3/21/2022, 10:00 PM UTC",
Ryuunosuke Akutagawa,Bungou Stray Dogs,"3/21/2022, 10:10 PM UTC",
Chino Kafuu,Is the Order a Rabbit?,"3/21/2022, 10:20 PM UTC",
M4 SOPMOD II Jr,Girls' Frontline,"3/21/2022, 10:40 PM UTC",
Zack,Angels of Death,"3/21/2022, 10:50 PM UTC",
Renie,Granblue Fantasy,"3/21/2022, 11:00 PM UTC",
